post_title,sku
BZX84C7V5-DIO,36980145
BZX85C10-TAP,39355029
BZX85C12-ONS,39346908
BZX85C12-TAP,39355218
BZX85C13-TAP,36980271
BZX85C15-TAP,39355326
BZX85C16-TAP,32723924
BZX85C18-TAP,32327240
BZX85C20-TAP,39355569
BZX85C22-TAP,39355893
BZX85C27-TAP,39356058
BZX85C30-TAP,39356181
BZX85C33-TAP,39356328
BZX85C43-TAP,37007040
BZX85C6V2-FAI,37007151
BZX85C8V2-TAP,37007295
BZX85V068,37007562
BZX85V100,37007628
BZX85V150,37007703
BZX85V200,37007838
BZY043,37026741
C0.22V160R10,19124558
C0603C104M3RACTU,19124633
C0603C470K5RACTU,19124705
C0603C475K9PACTU,19124786
C0805C180K5GACTU,19124831
C0805C330J5GAC,19124930
C106M-CDI,26770583
C106M1G-LF,33678467
C14G50,28328306
C1608X5R1E224K,19125008
C317C103K1R5TA,19125065
C3972BBAAA,34868715
C4007,34109691
C4020,34109805
C4028D-SMD,34109964
C4043,34110078
C4069D-SMD,34110177
C4070D-SMD,34110468
C4071D-SMD,34110585
C4078,34110681
C430C106K3R5TA,52270797
C4513,34111035
C4514,34111158
C4528,34111311
C4543D-SMD,34113375
C520D,34114713
"C82NF001,0L",19125209
C987U103MYVDBA7317,19125659
CA14A11RT,37580922
CA14V-5K,45759926
CA6V-25K,37581210
CAR-020,35828952
CAR-021,19436357
CAT4238TD,34118172
CB-HFT1.6/1M-BK,33745842
CB-HFT12.7/1M-BK,32729336
CB-HFT12.7/1M-WH,18701771
CB-HFT12.7/1M-YE,41266689
CB-HFT2.4/1M-BK,32634527
CB-HFT25.4/1M-BK,32684603
CB-HFT3.2/1M-BK,39625758
CB-HFT4.8/1M-BK,33152480
CB-HFT6.4/BOX-BR,33774594
CB-HFT9.5/1M-BK,32728286
CBB60A-1.5/450,19125710
CBB60A-12/450,33265976
CBB60A-14/450,34975668
CBB60A-16/450,33266135
CBB60A-20/450,31561412
CBB60A-30/450,33266399
CBB60A-40/450,19126433
CBB60A-50/450,25196852
CBB60A-60/450,33251078
CBB60A-80/450,33254498
CBB60E-1/450,19165868
CBB60E-6/450,48284613
CBB60G-10/450,33266609
CBB60H-25/450,33433523
CBM-RD,35829525
CC-006B,35829972
CC-006W,35831121
CC-10,19122950
CC-10N,19122881
CC-1114,19448570
CC-1N,19123127
CC-2.2N,41342661
CC-222R,19448687
CC-22N,19166153
CC-271/500,19166180
CC-33,19123322
CC-4.7N,19166198
CC-473/500,19166219
CC0603CRNPO9BNR56,19166630
CC0805CRNP091R2,34978347
CC0805CRNP091R5,34978476
CC0805CRNP093R3,34978596
CC0805KKX7R9224,19166840
CCH-100K,36018078
CCH-18P,34981566
CCH-1K,19174364
CCH-1N/3000V,19174400
CCH-2K2,19174424
CCH-4K7,19174448
CCK-22N,19174472
CCK-27P,19174484
CCK-33P,19174490
CCK-4N7,19174508
CCPF022K1206,35012226
CCPF027K0805,19174604
CCPF033K0402,19174649
CCPF039K0805,19174667
CCPF039K1206,19174721
CCPF047K0402,19174787
CCPF056K0805,19174814
CCPF068K0805,19174844
CCPF068K1206,19174874
CCPF082K0805,19174892
CCPF1.0K0805,19174973
CCPF1.2K0805,19175000
CCPF100K0805,19175030
CCPF180K12/39979,19175249
CCPF2.2K1206,19175282
CCPF2.7K0805,19175312
CCPF220K0402,19178246
CCPF220K0805,19179545
CCPF220K1206,19179617
CCPF270K1206,19179695
